,JP,DW,Comments
Bootstrap snippet,,y,extra imports
Component snippet,y,,added moduleid in component declaration
Component root,y,-,
Http module import snippet,-,y,
Http map() snippet,,y,nicer to read
@Input property snippet,-,y,
@Output event snippet,-,y,
Pipe snippet,,y,strongly typed
@Routes snippet,y,y,similar
Route definition snippet,y,y,similar
Service snippet,y,y,same
Observable subscribe snippet,,y,nicer to read
provide() with useClass,-,y,
,,,
,,,
[class] binding snippet,-,y,
[ngClass] snippet,y,y,same
*ngFor snippet,y,y,same
ngForm snippet,-,y,
*ngIf snippet,y,y,same
[(ngModel)] binding snippet,y,y,same
basic [routerLink] snippet,y,y,same
[routerLink] with router parameter snippet,-,y,
[ngSwitch] snippet,y,y,same
[ngStyle] snippet,y,y,same
<select> control using *ngFor snipppet,-,y,
[style] binding snippet,-,y,
